Realdel av fasskift,Tlab [Mev]
26.6871,281
26.6559,281.2
26.6247,281.4
26.5935,281.6
26.5623,281.8
26.5312,282
26.5,282.2
26.4688,282.4
26.4377,282.6
26.4065,282.8
26.3754,283
26.3442,283.2
26.3131,283.4
26.282,283.6
26.2508,283.8
26.2197,284
26.1886,284.2
26.1575,284.4
26.1264,284.6
26.0953,284.8
26.0642,285
26.0332,285.2
26.0021,285.4
25.971,285.6
25.94,285.8
25.9089,286
25.8779,286.2
25.8469,286.4
25.8159,286.6
25.7848,286.8
25.7538,287
25.7228,287.2
25.6918,287.4
25.6608,287.6
25.6299,287.8
25.5989,288
25.5679,288.2
25.537,288.4
25.506,288.6
25.4751,288.8
25.4441,289
25.4132,289.2
25.3823,289.4
25.3514,289.6
25.3205,289.8
25.2896,290
25.2587,290.2
25.2278,290.4
25.1969,290.6
25.166,290.8
25.1352,291
25.1043,291.2
25.0735,291.4
25.0427,291.6
25.0118,291.8
24.981,292
24.9502,292.2
24.9194,292.4
24.8886,292.6
24.8578,292.8
24.827,293
24.7963,293.2
24.7655,293.4
24.7347,293.6
24.704,293.8
24.6733,294
24.6425,294.2
24.6118,294.4
24.5811,294.6
24.5504,294.8
24.5197,295
24.489,295.2
24.4583,295.4
24.4277,295.6
24.397,295.8
24.3664,296
24.3357,296.2
24.3051,296.4
24.2744,296.6
24.2438,296.8
24.2132,297
24.1826,297.2
24.152,297.4
24.1215,297.6
24.0909,297.8
24.0603,298
24.0298,298.2
23.9992,298.4
23.9687,298.6
23.9382,298.8
23.9076,299
23.8771,299.2
23.8466,299.4
23.8161,299.6
23.7857,299.8
23.7552,300
23.7247,300.2
23.6943,300.4
23.6638,300.6
23.6334,300.8
23.603,301
23.5726,301.2
23.5421,301.4
23.5117,301.6
23.4814,301.8
23.451,302
23.4206,302.2
23.3903,302.4
23.3599,302.6
23.3296,302.8
23.2993,303
23.2689,303.2
23.2386,303.4
23.2083,303.6
23.178,303.8
23.1478,304
23.1175,304.2
23.0872,304.4
23.057,304.6
23.0268,304.8
22.9965,305
22.9663,305.2
22.9361,305.4
22.9059,305.6
22.8757,305.8
22.8455,306
22.8154,306.2
22.7852,306.4
22.7551,306.6
22.7249,306.8
22.6948,307
22.6647,307.2
22.6346,307.4
22.6045,307.6
22.5744,307.8
22.5444,308
22.5143,308.2
22.4842,308.4
22.4542,308.6
22.4242,308.8
22.3942,309
22.3642,309.2
22.3342,309.4
22.3042,309.6
22.2742,309.8
22.2442,310
22.2143,310.2
22.1843,310.4
22.1544,310.6
22.1245,310.8
22.0946,311
22.0647,311.2
22.0348,311.4
22.0049,311.6
21.9751,311.8
21.9452,312
21.9154,312.2
21.8856,312.4
21.8557,312.6
21.8259,312.8
21.7961,313
21.7664,313.2
21.7366,313.4
21.7068,313.6
21.6771,313.8
21.6474,314
21.6176,314.2
21.5879,314.4
21.5582,314.6
21.5285,314.8
21.4989,315
21.4692,315.2
21.4395,315.4
21.4099,315.6
21.3803,315.8
21.3506,316
21.321,316.2
21.2915,316.4
21.2619,316.6
21.2323,316.8
21.2027,317
